order_id,order_date,product_name,category,unit_price,quantity,revenue,cost,profit,region,country,is_returned
AMZ-2023-000001,2023-12-11 07:20:00,机械键盘,电子产品,115.69,1,115.69,60,55.69,欧洲,UK,0
AMZ-2023-000002,2023-09-24 02:21:00,可折叠宠物笼,宠物用品,84.26,1,84.26,35,49.26,欧洲,DE,0
AMZ-2023-000003,2023-03-12 21:43:00,便携式充电宝,电子产品,79.59,1,79.59,35,44.59,亚太,SG,0
AMZ-2023-000004,2023-06-15 18:43:00,人体工学腕托,办公用品,25.69,1,25.69,9,16.69,亚太,SG,0
AMZ-2023-000005,2023-03-07 17:03:00,跑步腰包,运动户外,18.34,2,36.68,12,24.68,欧洲,IT,0
AMZ-2023-000006,2023-04-28 14:59:00,桌面文件架,办公用品,31.95,1,31.95,12,19.95,欧洲,DE,0
AMZ-2023-000007,2023-04-08 03:01:00,防滑衣架 20个装,家居厨房,20.07,1,20.07,8,12.07,北美,US,0
AMZ-2023-000008,2023-07-10 03:13:00,登山背包 40L,运动户外,84.37,1,84.37,42,42.37,亚太,AU,0
AMZ-2023-000009,2023-12-21 15:44:00,人体工学腕托,办公用品,27.47,1,27.47,9,18.47,亚太,JP,0
AMZ-2023-000010,2023-08-09 14:44:00,人体工学腕托,办公用品,28.65,1,28.65,9,19.65,亚太,SG,0
AMZ-2023-000011,2023-01-11 18:16:00,LED 护眼台灯,家居厨房,59.79,1,59.79,25,34.79,欧洲,ES,0
AMZ-2023-000012,2023-09-28 06:08:00,硅胶厨房 utensils 套装,家居厨房,27.53,1,27.53,10,17.53,欧洲,IT,0
AMZ-2023-000013,2023-05-03 11:39:00,宠物梳毛器,宠物用品,15.28,1,15.28,5,10.28,其他,AE,0
AMZ-2023-000014,2023-11-05 22:13:00,瑜伽垫加厚防滑,运动户外,39.27,1,39.27,18,21.27,其他,AE,0
AMZ-2023-000015,2023-02-07 16:51:00,硅胶厨房 utensils 套装,家居厨房,30.7,1,30.7,10,20.7,亚太,SG,0
AMZ-2023-000016,2023-08-04 12:31:00,机械键盘,电子产品,136.54,1,136.54,60,76.54,其他,BR,0
